bloqueo,entropia,msi,bfr,rutas,pathconsec,entropiauso,porcuso,shf
0,13.47619,136.095238,0.169465,187,29.461252,16.531451,0.25974,0.734766
0,13.571429,139.095238,0.178481,188,29.227646,16.618396,0.261769,0.752027
0,13.666667,141.619048,0.185179,189,28.714722,16.824168,0.263934,0.766429
0,13.761905,144.238095,0.196078,188,28.078166,16.902316,0.263663,0.791588
0,13.857143,145.619048,0.199365,189,27.770022,17.176334,0.265693,0.799052
0,13.952381,147.571429,0.20389,190,26.765186,17.969771,0.267857,0.809341
0,14.142857,149.761905,0.210763,191,26.044753,18.596275,0.269075,0.826036
0,14.142857,149.761905,0.210439,192,26.021025,18.596275,0.269345,0.825245
0,14.142857,149.761905,0.210315,193,26.01099,18.672475,0.269481,0.824877
0,14.142857,149.761905,0.209337,194,25.921992,18.744916,0.270563,0.823059
0,14.333333,151.380952,0.211332,195,25.09373,19.693836,0.274351,0.829373
0,14.52381,151.380952,0.215892,193,24.544658,19.511265,0.270563,0.842636
0,14.52381,151.380952,0.215088,194,24.516046,19.511265,0.271374,0.840242
0,15.190476,151.380952,0.222057,191,23.575009,19.933968,0.265422,0.865325
0,15.190476,151.380952,0.22097,192,23.482206,20.17493,0.266504,0.86324
0,15.190476,151.428571,0.220758,193,23.463246,20.17493,0.26691,0.862718
0,15.190476,152.095238,0.219228,194,23.589855,20.417281,0.270157,0.859831
0,15.190476,152.095238,0.218362,195,23.544336,20.497995,0.270969,0.85827
0,15.190476,152.095238,0.217746,196,23.501077,20.497995,0.27151,0.856605
0,15.190476,152.095238,0.217507,197,23.482188,20.497995,0.27178,0.855711
0,15.095238,152.095238,0.216833,197,23.531957,20.321405,0.272321,0.853202
0,15.095238,152.095238,0.21658,198,23.516797,20.321405,0.272592,0.852618
0,15.0,152.095238,0.216295,199,23.617791,20.226062,0.272863,0.85163
0,15.190476,153.238095,0.217919,200,23.092828,21.067196,0.275298,0.857053
0,15.190476,152.238095,0.219257,199,23.209116,20.738834,0.271239,0.857727
0,15.190476,152.333333,0.219008,200,23.173217,20.82062,0.27178,0.856965
0,15.190476,152.333333,0.218875,201,23.173217,20.82062,0.271916,0.856678
0,15.190476,152.333333,0.217976,202,23.134764,20.901796,0.272727,0.85413
0,15.285714,153.47619,0.219822,203,22.838333,21.530023,0.275568,0.856949
0,15.285714,153.47619,0.218907,204,22.786508,21.530023,0.276515,0.853647
0,15.47619,153.47619,0.219533,203,22.503783,21.540518,0.275839,0.854731
0,15.47619,154.047619,0.219923,204,22.386557,21.872976,0.277462,0.855354
0,15.666667,154.047619,0.220009,204,21.97729,21.918643,0.277868,0.857784
0,15.571429,154.047619,0.219075,205,22.082342,21.983971,0.27868,0.854479
0,15.761905,155.428571,0.221431,206,21.742549,22.139007,0.281521,0.860585
0,15.761905,155.52381,0.220944,207,21.718493,22.225673,0.282332,0.85893
0,15.857143,157.380952,0.225149,208,21.572938,22.533647,0.285579,0.866653
0,15.952381,157.380952,0.234556,205,21.935103,22.184637,0.277462,0.88884
0,15.952381,157.380952,0.233203,206,21.860723,22.184637,0.278274,0.886445
0,16.047619,158.428571,0.234843,207,21.636123,22.209991,0.280438,0.891086
0,15.952381,158.428571,0.234301,208,21.686005,22.190224,0.280979,0.888547
0,15.952381,158.428571,0.233334,209,21.629625,22.272099,0.281791,0.886019
0,15.952381,158.428571,0.232336,210,21.584158,22.272099,0.282738,0.882717
0,16.238095,158.428571,0.230403,210,21.100165,22.968319,0.284226,0.8798
0,16.285714,158.428571,0.230277,211,21.085909,22.9828,0.284361,0.88351
0,16.285714,159.857143,0.233687,212,21.20356,22.812376,0.285579,0.892281
0,16.380952,161.238095,0.238157,213,20.948594,23.210717,0.287473,0.899516
0,16.380952,161.238095,0.237782,214,20.930671,23.210717,0.287744,0.898572
0,16.47619,161.142857,0.237971,213,20.84874,23.442151,0.287608,0.898614
